h2o,ex,peg,mdx,chi6,rep,activator,dCas9,5,8,9,11,12,14,15,17,18,19,20,21,22,23,0,mg,k,energy,slope,,0,12.56081081,0.513646853
125,845,150,120,200,67.5,85,120,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,150.9189189,,,,
125,845,150,120,200,67.5,85,120,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,164.1621622,,,,
122.5,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,78.18918919,,,,
122.5,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,82.13513514,,,,
122.5,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,83.64864865,,,,
122.5,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,99.59459459,,,,
122.5,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,105.1081081,,,,
122.5,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,106.2702703,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,144.8378378,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,156.9459459,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,157.2702703,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,161.2162162,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,164.5675676,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,165.3513514,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,123.7297297,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,130.4324324,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,134.5945946,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,134.7837838,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,143.8648649,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,149.027027,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,97.2972973,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,109.9459459,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,137.5945946,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,138.2972973,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,144.972973,,,,
110,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,150.7567568,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,117.2432432,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,136.972973,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,147.1621622,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,150.972973,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,152.1891892,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,155.9189189,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,149.0810811,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,151.3783784,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,154.4054054,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,157.027027,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,164.2162162,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,166.972973,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,162.6486486,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,175.8378378,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,180.4864865,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,180.5675676,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,184.6486486,,,,
130,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,196.5135135,,,,
105,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,10.32432432,,,,
105,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,11.94594595,,,,
105,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,12.02702703,,,,
105,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,12.24324324,,,,
105,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,12.59459459,,,,
105,845,150,120,200,67.5,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,13.37837838,,,,
