h2o,ex,peg,mdx,chi6,j2,pBT005,pCas9,8,11,14,17,19,20,0,mg,k-glu,3pga,Intensity,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,191,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,230,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,252,,,,,,,,,,,,
15,845,150,120,200,90,85,205,82.5,0,0,0,0,0,0,45,52.5,110,366,,,,,,,,,,,,
15,845,150,120,200,90,85,205,82.5,0,0,0,0,0,0,45,52.5,110,820,,,,,,,,,,,,
15,845,150,120,200,90,85,205,82.5,0,0,0,0,0,0,45,52.5,110,1012,,,,,,,,,,,,
15,845,150,120,200,90,85,205,82.5,0,0,0,0,0,0,45,52.5,110,1062,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,85,0,0,0,0,0,45,52.5,110,259,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,85,0,0,0,0,0,45,52.5,110,269,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,85,0,0,0,0,0,45,52.5,110,353,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,85,0,0,0,0,0,45,52.5,110,365,,,,,,,,,,,,
20,845,150,120,200,90,85,205,0,0,77.5,0,0,0,0,45,52.5,110,601,,,,,,,,,,,,
20,845,150,120,200,90,85,205,0,0,77.5,0,0,0,0,45,52.5,110,621,,,,,,,,,,,,
20,845,150,120,200,90,85,205,0,0,77.5,0,0,0,0,45,52.5,110,650,,,,,,,,,,,,
20,845,150,120,200,90,85,205,0,0,77.5,0,0,0,0,45,52.5,110,747,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,176,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,219,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,474,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,512,,,,,,,,,,,,
10,845,150,120,200,90,85,205,0,0,0,0,87.5,0,0,45,52.5,110,130,,,,,,,,,,,,
10,845,150,120,200,90,85,205,0,0,0,0,87.5,0,0,45,52.5,110,149,,,,,,,,,,,,
10,845,150,120,200,90,85,205,0,0,0,0,87.5,0,0,45,52.5,110,157,,,,,,,,,,,,
10,845,150,120,200,90,85,205,0,0,0,0,87.5,0,0,45,52.5,110,170,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,162,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,188,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,223,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,224,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,198,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,208,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,220,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,224,,,,,,,,,,,,
