h2o,ex,peg,mdx,chi6,rep,activator,dCas9,5,8,9,11,12,14,15,17,18,19,20,21,22,23,0,mg,k,energy,slope,,0,19.7027027,4.379045662,,0,16.04054054,6.907714568
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,235.972973,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,236.7027027,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,249.5675676,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,264.8918919,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,21,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,92.72972973,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,117.9459459,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,134.0810811,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,136.1891892,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,138.6216216,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,4.189189189,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,6.675675676,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,6.702702703,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,9.72972973,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,10.89189189,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,11.02702703,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.189189189,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.756756757,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.756756757,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.810810811,,,,,,,,
