h2o,ex,peg,mdx,chi6,rep,act,cas9,8,11,14,18,20,0,19,mg,k,energy,Intensity,,,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1365,,,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1384,,,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1391,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,299,,312,15.24795068,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,305,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,306,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,338,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,5075,,6192,927.0625653,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,5481,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,7023,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,7189,,,,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,10242,,11410,1167.490471,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,10522,,,,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,11668,,,,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,13208,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,7817,,10484,570.8572501,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,9743,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,10577,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,11132,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,254,,298.75,62.7231018,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,267,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,267,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,407,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,667,,837.25,198.0913615,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,711,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,801,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,1170,,,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1275,,1504.5,148.1055367,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1473,,,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1632,,,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1638,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,275,,294.25,16.66395811,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,284,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,299,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,319,,,,,,,,,,,,,,
